date;time;quantity;route
02.08.2015;14:00;100;2
03.08.2015;14:00;100;2
03.08.2015;14:20;100;2
03.08.2015;15:00;100;2
03.08.2015;15:20;50;2
04.08.2015;14:00;100;2
09.08.2015;14:00;100;2
10.08.2015;14:00;100;2
10.08.2015;14:20;100;2
10.08.2015;14:40;100;2
10.08.2015;15:00;100;2
12.08.2015;14:00;100;2
13.08.2015;15:00;100;2
13.08.2015;15:20;65;2
15.08.2015;14:00;100;2
16.08.2015;10:00;15;2
16.08.2015;14:00;100;2
17.08.2015;14:00;100;2
17.08.2015;14:20;100;2
17.08.2015;15:00;100;2
17.08.2015;15:20;65;2
23.08.2015;14:00;100;2
24.08.2015;14:00;100;2
24.08.2015;14:20;100;2
30.08.2015;14:00;100;2
31.08.2015;14:00;100;2
31.08.2015;14:20;100;2
01.08.2015;10:30;15;1
02.08.2015;10:30;44;1
02.08.2015;15:00;3;2
03.08.2015;11:00;25;1
03.08.2015;14:40;15;2
03.08.2015;15:40;75;2
05.08.2015;10:45;7;1
05.08.2015;13:20;10;2
06.08.2015;10:15;73;1
07.08.2015;10:00;11;1
09.08.2015;10:00;2;1
09.08.2015;15:20;2;2
10.08.2015;10:15;38;1
10.08.2015;13:20;14;2
10.08.2015;15:40;72;2
10.08.2015;16:20;5;2
12.08.2015;10:15;43;1
12.08.2015;15:00;21;2
13.08.2015;10:15;79;1
13.08.2015;16:00;37;2
14.08.2015;10:15;17;1
14.08.2015;17:00;5;2
15.08.2015;10:00;36;1
16.08.2015;10:30;13;1
17.08.2015;10:00;8;1
17.08.2015;13:40;2;2
17.08.2015;15:40;95;2
17.08.2015;16:00;32;2
19.08.2015;10:00;44;1
19.08.2015;15:00;28;2
20.08.2015;10:45;64;1
20.08.2015;17:20;2;2
21.08.2015;10:00;2;1
22.08.2015;11:30;52;1
22.08.2015;12:20;45;2
22.08.2015;15:00;2;2
23.08.2015;10:00;2;1
24.08.2015;10:45;13;1
24.08.2015;13:40;2;2
24.08.2015;15:00;20;2
24.08.2015;15:20;59;2
26.08.2015;10:30;4;1
27.08.2015;10:15;41;1
28.08.2015;10:30;64;1
28.08.2015;12:20;37;2
29.08.2015;11:00;5;1
29.08.2015;11:30;48;1
30.08.2015;13:00;2;2
31.08.2015;15:00;77;2
