date;time ;quantity;route
07.09.2015;15:00;165;2
28.09.2015;15:40;60;2
30.09.2015;15:00;60;2
02.09.2015;10:15;80;1
03.09.2015;10:00;51;1
03.09.2015;14:00;2;2
04.09.2015;10:30;10;1
05.09.2015;14:20;6;2
06.09.2015;10:00;2;1
06.09.2015;15:20;2;2
07.09.2015;10:30;33;1
07.09.2015;14:20;49;2
09.09.2015;10:30;36;1
09.09.2015;11:30;48;1
09.09.2015;12:00;4;2
09.09.2015;14:20;3;2
10.09.2015;10:00;67;1
11.09.2015;10:00;4;1
11.09.2015;15:20;2;2
12.09.2015;10:30;7;1
12.09.2015;11:30;48;1
13.09.2015;10:00;8;1
13.09.2015;14:20;4;2
14.09.2015;10:00;38;1
14.09.2015;11:15;1;1
14.09.2015;15:00;51;2
16.09.2015;10:30;39;1
16.09.2015;11:30;48;1
16.09.2015;15:00;33;2
17.09.2015;10:30;59;1
18.09.2015;10:00;9;1
18.09.2015;14:20;10;2
18.09.2015;15:00;30;2
19.09.2015;10:00;8;1
19.09.2015;11:30;48;1
20.09.2015;10:00;49;1
21.09.2015;10:00;29;1
21.09.2015;14:20;24;2
23.09.2015;10:30;50;1
23.09.2015;11:30;48;1
24.09.2015;11:00;3;1
26.09.2015;11:30;48;1
27.09.2015;10:30;32;1
27.09.2015;15:00;15;2
30.09.2015;10:00;2;1
30.09.2015;11:30;50;1
30.09.2015;15:00;8;2
